model,target,fold,accuracy,precision,recall,f1,false_change_rate,missed_change_rate,stability_score,positives,negatives,mean_predicted_probability
logreg,change_binary,0,0.7656883212575218,0.48825453464168894,0.8977583378895572,0.6325115562403697,0.272568894520114,0.10224166211044286,0.5640427360923492,1829.0,6314.0,0.3770718385054246
random_forest,change_binary,0,0.8053542920299643,0.5395846852693057,0.9092400218698743,0.677255141519039,0.22473867595818817,0.09075997813012575,0.6011298047402677,1829.0,6314.0,0.3294950228032954
logreg,change_binary,1,0.7700429711479435,0.46677471636953,0.8633093525179856,0.6059330948874395,0.2539756059904277,0.1366906474820144,0.5932473910374463,1668.0,6477.0,0.35303778278914716
random_forest,change_binary,1,0.8154696132596685,0.5302974660301139,0.8657074340527577,0.6577089501252562,0.19746796356337812,0.1342925659472422,0.638182934315531,1668.0,6477.0,0.2967235169774573
logreg,change_binary,2,0.7541728031418753,0.45896296296296296,0.8974507531865585,0.6073318957067242,0.2843350981002803,0.10254924681344148,0.5640648011782032,1726.0,6422.0,0.3839381046219733
random_forest,change_binary,2,0.7971281296023565,0.5122278056951424,0.8858632676709154,0.6491190829972405,0.22672064777327935,0.11413673232908458,0.6094747177221405,1726.0,6422.0,0.3226817746566175
logreg,change_binary,3,0.756016699410609,0.5019662921348315,0.8930534732633684,0.642690163639633,0.28862119485593357,0.10694652673663169,0.5365913555992141,2001.0,6143.0,0.402029428472406
random_forest,change_binary,3,0.8009577603143418,0.560126582278481,0.8845577211394303,0.6859135826390235,0.2262738075858701,0.11544227886056972,0.5836198428290766,2001.0,6143.0,0.3385578522717963
logreg,change_binary,4,0.7592979010678778,0.4903452311293154,0.8844327176781003,0.6309053265575004,0.27863083813179784,0.11556728232189974,0.5535780041733154,1895.0,6252.0,0.3930803042773144
random_forest,change_binary,4,0.7956302933595188,0.5374105400130124,0.8717678100263853,0.6649225196216543,0.22744721689059502,0.12823218997361477,0.5928562661102246,1895.0,6252.0,0.326029975005377
