task,target,group,count,mean_abs_error,median_abs_error
composition,built_prop,built,18567,0.09625902517883357,0.06778411596669204
composition,built_prop,other,268,0.24324401348659097,0.18968556517400664
composition,built_prop,veg,62204,0.033237860232260365,0.0008337479672545342
composition,built_prop,water,415,0.10713857756533825,0.05780007171878375
composition,veg_prop,built,18567,0.08613270296143026,0.05918441172083555
composition,veg_prop,other,268,0.2560071258286615,0.19665249039365196
composition,veg_prop,veg,62204,0.03509934117471084,0.00104597242625315
composition,veg_prop,water,415,0.05872908346161809,0.0423445603289932
composition,water_prop,built,18567,0.00426332296513831,0.0004788353889114561
composition,water_prop,other,268,0.008510508314423444,0.0007433515405194226
composition,water_prop,veg,62204,0.0017219390964311708,6.243410346733865e-05
composition,water_prop,water,415,0.12522466663258514,0.08732689508479308
composition,other_prop,built,18567,0.016884278325328687,0.00622219919327911
composition,other_prop,other,268,0.43388938358022,0.44945517188015705
composition,other_prop,veg,62204,0.009937076002589113,0.000229047505517457
composition,other_prop,water,415,0.01870178518483015,0.010031201179375103
