task,target,model,feature,importance
composition,built_prop,lgbm,B2_med,5913.0
composition,built_prop,lgbm,B3_med,5380.0
composition,built_prop,lgbm,B4_med,5773.0
composition,built_prop,lgbm,B8_med,6856.0
composition,built_prop,lgbm,ndvi_med,5366.0
composition,built_prop,lgbm,ndvi_std,6610.0
composition,built_prop,lgbm,ndwi_med,5818.0
composition,built_prop,lgbm,ndwi_std,7478.0
composition,built_prop,lgbm,valid_frac,406.0
composition,veg_prop,lgbm,B2_med,6011.0
composition,veg_prop,lgbm,B3_med,5583.0
composition,veg_prop,lgbm,B4_med,5652.0
composition,veg_prop,lgbm,B8_med,6657.0
composition,veg_prop,lgbm,ndvi_med,5675.0
composition,veg_prop,lgbm,ndvi_std,6514.0
composition,veg_prop,lgbm,ndwi_med,5776.0
composition,veg_prop,lgbm,ndwi_std,7325.0
composition,veg_prop,lgbm,valid_frac,407.0
composition,water_prop,lgbm,B2_med,5123.0
composition,water_prop,lgbm,B3_med,5283.0
composition,water_prop,lgbm,B4_med,6022.0
composition,water_prop,lgbm,B8_med,7923.0
composition,water_prop,lgbm,ndvi_med,4913.0
composition,water_prop,lgbm,ndvi_std,6864.0
composition,water_prop,lgbm,ndwi_med,5426.0
composition,water_prop,lgbm,ndwi_std,7072.0
composition,water_prop,lgbm,valid_frac,974.0
composition,other_prop,lgbm,B2_med,5299.0
composition,other_prop,lgbm,B3_med,4498.0
composition,other_prop,lgbm,B4_med,5101.0
composition,other_prop,lgbm,B8_med,8451.0
composition,other_prop,lgbm,ndvi_med,5253.0
composition,other_prop,lgbm,ndvi_std,6488.0
composition,other_prop,lgbm,ndwi_med,6237.0
composition,other_prop,lgbm,ndwi_std,7373.0
composition,other_prop,lgbm,valid_frac,900.0
change_regression,delta_built,lgbm,B2_med_t1,1879.0
change_regression,delta_built,lgbm,B3_med_t1,1811.0
change_regression,delta_built,lgbm,B4_med_t1,1756.0
change_regression,delta_built,lgbm,B8_med_t1,2351.0
change_regression,delta_built,lgbm,ndvi_med_t1,1794.0
change_regression,delta_built,lgbm,ndvi_std_t1,1992.0
change_regression,delta_built,lgbm,ndwi_med_t1,1855.0
change_regression,delta_built,lgbm,ndwi_std_t1,2096.0
change_regression,delta_built,lgbm,valid_frac_t1,433.0
change_regression,delta_built,lgbm,B2_med_t2,2004.0
change_regression,delta_built,lgbm,B3_med_t2,1761.0
change_regression,delta_built,lgbm,B4_med_t2,1850.0
change_regression,delta_built,lgbm,B8_med_t2,2225.0
change_regression,delta_built,lgbm,ndvi_med_t2,1652.0
change_regression,delta_built,lgbm,ndvi_std_t2,2000.0
change_regression,delta_built,lgbm,ndwi_med_t2,1546.0
change_regression,delta_built,lgbm,ndwi_std_t2,2045.0
change_regression,delta_built,lgbm,valid_frac_t2,128.0
change_regression,delta_built,lgbm,B2_med_d,2212.0
change_regression,delta_built,lgbm,B3_med_d,1928.0
change_regression,delta_built,lgbm,B4_med_d,1900.0
change_regression,delta_built,lgbm,B8_med_d,2772.0
change_regression,delta_built,lgbm,ndvi_med_d,2401.0
change_regression,delta_built,lgbm,ndvi_std_d,2109.0
change_regression,delta_built,lgbm,ndwi_med_d,2326.0
change_regression,delta_built,lgbm,ndwi_std_d,2107.0
change_regression,delta_built,lgbm,valid_frac_d,667.0
change_regression,delta_veg,lgbm,B2_med_t1,1836.0
change_regression,delta_veg,lgbm,B3_med_t1,1746.0
change_regression,delta_veg,lgbm,B4_med_t1,2020.0
change_regression,delta_veg,lgbm,B8_med_t1,2426.0
change_regression,delta_veg,lgbm,ndvi_med_t1,2147.0
change_regression,delta_veg,lgbm,ndvi_std_t1,2108.0
change_regression,delta_veg,lgbm,ndwi_med_t1,2388.0
change_regression,delta_veg,lgbm,ndwi_std_t1,2254.0
change_regression,delta_veg,lgbm,valid_frac_t1,134.0
change_regression,delta_veg,lgbm,B2_med_t2,1908.0
change_regression,delta_veg,lgbm,B3_med_t2,1872.0
change_regression,delta_veg,lgbm,B4_med_t2,1904.0
change_regression,delta_veg,lgbm,B8_med_t2,2204.0
change_regression,delta_veg,lgbm,ndvi_med_t2,1801.0
change_regression,delta_veg,lgbm,ndvi_std_t2,2086.0
change_regression,delta_veg,lgbm,ndwi_med_t2,1750.0
change_regression,delta_veg,lgbm,ndwi_std_t2,2183.0
change_regression,delta_veg,lgbm,valid_frac_t2,153.0
change_regression,delta_veg,lgbm,B2_med_d,1758.0
change_regression,delta_veg,lgbm,B3_med_d,1734.0
change_regression,delta_veg,lgbm,B4_med_d,1957.0
change_regression,delta_veg,lgbm,B8_med_d,2290.0
change_regression,delta_veg,lgbm,ndvi_med_d,2302.0
change_regression,delta_veg,lgbm,ndvi_std_d,2414.0
