model,target,fold,mse,rmse,mae,median_ae,max_error,r2,adj_r2,explained_var,mape,smape
ridge,built_prop,0,0.022381860191749654,0.14960568235113816,0.10555395802703565,0.06742015070701735,0.9387305579018024,0.8014637465554378,0.801353963667689,0.8017101033431926,427945947.94202995,132.72340168108713
lgbm,built_prop,0,0.009081461494662543,0.09529670243330848,0.04749005894748921,0.00697274425621662,0.8316781553793076,0.919443722483086,0.9193991779698363,0.9194452654915588,79322496.29903397,127.32060603387589
ridge,built_prop,1,0.025981762917909733,0.16118859425502083,0.10839040650684255,0.0634487044200544,1.614635639517666,0.761261475247432,0.7611294944905049,0.7622603770890133,488772049.01721364,139.1046072602442
lgbm,built_prop,1,0.009175849480797813,0.09579065445437678,0.045259526244645916,0.004866988516503446,1.0026330160016983,0.915685907252766,0.915639296267832,0.9157180262717113,98925882.00873682,134.1914310765293
ridge,built_prop,2,0.025331966062411147,0.1591601899421182,0.11036107393737918,0.06846961301979457,1.335445134714075,0.777187772559798,0.7770646416469305,0.7775287062444478,451252533.2159237,132.3955062356155
lgbm,built_prop,2,0.009090321368723122,0.09534317683360001,0.04863971075512793,0.007568596567228313,0.9136885210272055,0.920044312892164,0.9200001276297318,0.9201445611234504,80399424.37655973,126.83106753737734
ridge,built_prop,3,0.026462955855872678,0.16267438598584805,0.11234757082735636,0.06996869066607206,1.3200013978925238,0.7662735367722066,0.7661443109355528,0.7663908203491001,448392600.1927146,129.9813194531912
lgbm,built_prop,3,0.009802147414480458,0.09900579485303099,0.051099314468071345,0.009953181450653565,0.7843381959400789,0.913425345993027,0.913377479431652,0.9134260566950803,90040609.39858627,124.11075453863778
ridge,built_prop,4,0.027437049987272265,0.16564132934528225,0.11350579925080423,0.0715546424543489,1.252066362540635,0.7604513805787679,0.7603189845105542,0.7606832499364904,484105405.93530107,131.64477262099822
lgbm,built_prop,4,0.01055130776096557,0.10271955880437557,0.050864240862976924,0.008701695599868739,0.9623943954105875,0.9078781717276334,0.907827256936768,0.9078968527497102,95907031.68336941,126.23461217546954
